"age_lexSet","measurement.no","preSeg","id","word","fit","se.fit"
"Old.hope",75.5102040816327,"velar","D58A_FO","KNOW",591.014039613136,10.6937114492253
"Young.hope",75.5102040816327,"velar","D58A_FO","KNOW",637.518932938324,16.8954219914371
"Old.hole",75.5102040816327,"velar","D58A_FO","KNOW",591.962243435191,20.9995369428696
"Young.hole",75.5102040816327,"velar","D58A_FO","KNOW",491.740785020866,62.7557561285972
"Old.hope",77.5510204081633,"velar","D58A_FO","KNOW",591.884042526576,11.2473458969338
"Young.hope",77.5510204081633,"velar","D58A_FO","KNOW",640.232021475888,17.5554562282369
"Old.hole",77.5510204081633,"velar","D58A_FO","KNOW",592.922505949423,21.7712763978813
"Young.hole",77.5510204081633,"velar","D58A_FO","KNOW",492.903875653141,64.7005843954705
"Old.hope",79.5918367346939,"velar","D58A_FO","KNOW",592.880018032126,11.8110565956173
"Young.hope",79.5918367346939,"velar","D58A_FO","KNOW",643.071082286364,18.2315429200731
"Old.hole",79.5918367346939,"velar","D58A_FO","KNOW",594.008754265436,22.5565527401587
"Young.hole",79.5918367346939,"velar","D58A_FO","KNOW",494.192935289619,66.6797410352724
"Old.hope",81.6326530612245,"velar","D58A_FO","KNOW",594.014337368694,12.3797992947229
"Young.hope",81.6326530612245,"velar","D58A_FO","KNOW",646.048486362882,18.9195612636023
"Old.hole",81.6326530612245,"velar","D58A_FO","KNOW",595.233358243291,23.3520561189166
"Young.hole",81.6326530612245,"velar","D58A_FO","KNOW",495.620335841864,68.6895988362007
"Old.hope",83.6734693877551,"velar","D58A_FO","KNOW",595.276967434696,12.9560946317633
"Young.hope",83.6734693877551,"velar","D58A_FO","KNOW",649.154200550112,19.620358554493
"Old.hole",83.6734693877551,"velar","D58A_FO","KNOW",596.586283364496,24.1584844391252
"Young.hole",83.6734693877551,"velar","D58A_FO","KNOW",497.176044679143,70.7281259821273
"Old.hope",85.7142857142857,"velar","D58A_FO","KNOW",596.647779295644,13.5439853427031
