fileNameGoal,word,style,vowel,prec_seg,fol_seg,duration,F1@0%,F1@10%,F1@20%,F1@30%,F1@40%,F1@50%,F1@60%,F1@70%,F1@80%,F1@90%,F1@100%,F2@0%,F2@10%,F2@20%,F2@30%,F2@40%,F2@50%,F2@60%,F2@70%,F2@80%,F2@90%,F2@100%
012_FY_20190703-GOAL,polaroid,wordList,OWL1,P,AH0,0.06,1039.502143,1059.208078,1059.254645,1079.093093,1088.190882,983.2241637,898.7907225,933.6163827,984.4006038,1043.609518,958.7118307,1680.328066,1786.972226,1843.62968,1763.304736,1775.583963,1887.613801,1912.195524,1927.702733,2001.879708,2096.573361,2118.157076
012_FY_20190703-GOAL,pole,wordList,OWL1,P,sp,0.61,861.9501988,921.088632,852.4392051,917.8082915,550.2286762,632.403474,634.7905429,695.3662412,683.7245721,831.5202537,706.1377546,1972.678598,2177.438498,1938.524231,1990.585537,1828.716799,1668.868111,1665.976233,1746.492589,1740.968995,1588.149413,1495.474073
012_FY_20190703-GOAL,whole,wordList,OWL1,HH,sp,0.56,1035.691195,921.9238275,883.345809,930.6833608,846.1745787,560.3514881,508.2096681,476.4969573,412.5181339,395.9869222,379.7772763,1966.002658,2143.339135,2218.420528,1909.45837,1711.038084,1429.255715,1310.618659,1251.756216,1659.257135,2300.462206,2236.44993
012_FY_20190703-GOAL,doling,wordList,OWL1,D,IH0,0.2,1006.669632,1007.612355,1013.10114,1063.306944,1012.784218,1051.612396,1019.987811,906.0185372,1063.807274,839.0312182,707.451785,1740.981545,1545.114616,1911.440899,1545.852544,1359.952519,1300.048919,1395.519858,1192.54096,1368.03988,1154.576174,1182.89956
012_FY_20190703-GOAL,moler,wordList,OWL1,M,AH0,0.06,1432.601387,1285.136166,979.892108,685.2140584,593.099492,955.0265375,893.1840968,770.9444737,751.7607786,836.2204814,1025.809764,2572.18905,2132.560106,1807.914842,1581.025558,1669.949852,1424.385385,1480.559051,1799.632446,1894.076774,2039.8738,2132.381271
012_FY_20190703-GOAL,poll,wordList,OWL1,P,sp,0.53,1105.836593,1093.10481,594.3750201,734.9767105,800.9840828,784.7467251,575.8986065,522.8050502,391.1806591,435.5828625,453.9247197,2381.899586,2430.963393,1678.052467,1767.420872,2130.466761,2088.432184,2146.741058,2350.785002,2354.010688,2396.060758,2318.674536
012_FY_20190703-GOAL,soul,wordList,OWL1,S,sp,0.52,1054.820303,793.7560879,1102.284214,930.7114654,1022.515075,777.2248582,770.075022,839.8134595,653.8346047,938.1610256,874.7551003,2102.137948,1936.65075,2054.654756,1832.489409,2235.901676,2414.969447,1906.27278,1816.982021,2039.678608,1282.229103,1480.73629
012_FY_20190703-GOAL,mole,wordList,OWL1,M,sp,0.31,561.4657236,721.1271188,841.885697,692.7589117,1380.04973,824.0352517,890.4927917,458.2187148,549.3486115,498.633178,518.0632624,1613.125465,1738.455916,1990.209975,1743.982264,2085.103629,1644.324064,1658.449423,1368.841396,1587.135674,1287.938002,1387.951686
012_FY_20190703-GOAL,foal,wordList,OWL1,F,sp,0.52,376.0169904,356.040973,366.8755718,265.6873229,308.302215,349.8731507,1382.278448,648.0236749,1203.137745,892.7390145,838.8116429,1926.391316,1730.785986,2521.005731,2514.063045,1972.905581,1798.526205,2708.894388,1918.879235,2665.920796,1744.37615,1691.939234
012_FY_20190703-GOAL,coal,wordList,OWL1,K,sp,0.59,385.3598133,525.3745044,526.3518241,554.6222755,550.8971258,563.6540677,624.5850352,752.995228,874.3786775,955.4190232,310.9997615,1811.507767,1827.117336,1913.054329,1939.811266,1946.067361,1991.145139,2060.288062,1899.395361,2193.831629,2236.338797,2068.73265
012_FY_20190703-GOAL,hole,wordList,OWL1,HH,sp,0.58,891.6234518,910.0114906,753.1536303,781.2685731,910.4491407,1004.630427,742.1001003,1167.73157,746.1441615,547.6301286,631.2302362,1882.236813,1935.653407,1987.488225,1864.915053,1891.316216,2021.475672,1509.763711,2322.513886,2039.608364,1036.480509,1742.367096
012_FY_20190703-GOAL,holey,wordList,OWL1,HH,IY0,0.23,500.7168884,521.4696184,520.2789405,460.9822925,672.7120987,945.0350665,1101.83601,1146.561827,959.7671499,856.7018317,959.2852924,1709.395985,1730.93128,1770.366197,1767.427531,1806.265347,1757.114857,1749.915602,1771.347461,1763.034225,1784.095959,1780.142176
012_FY_20190703-GOAL,bowl,wordList,OWL1,B,W,0.55,540.9960712,419.1490313,370.3268399,390.9398712,408.8403044,655.5531929,749.9001911,256.2743611,390.3985178,508.7962611,499.947657,1071.188405,940.2936084,1062.175625,953.1537731,1348.126282,1526.587866,1823.346454,2038.345657,2107.533781,2023.955704,1999.508159
012_FY_20190703-GOAL,rolling,wordList,OWL1,R,IH0,0.21,498.6556394,521.4220014,491.6404807,490.7006619,545.6785842,519.0401447,499.3582696,513.3530082,426.4138212,380.5269444,364.7007889,1777.786324,1713.754968,1548.350971,1648.155515,1539.289585,1604.172795,1753.247656,2053.557949,2068.680161,2023.217382,1954.64552
012_FY_20190703-GOAL,polar,wordList,OWL1,P,AH0,0.23,514.7421853,558.5910095,534.4336983,523.5037746,524.5914978,533.0884173,551.0401084,566.1823299,569.7483905,623.5159342,612.7915678,1370.350381,1641.83064,1605.478223,1471.484799,1579.474852,1641.050467,1636.334392,1601.788701,1637.324301,1712.925247,1848.931454
012_FY_20190703-GOAL,molar,wordList,OWL1,M,AH0,0.21,501.1691284,461.7108829,469.3377421,494.2558108,491.7807215,448.5349341,450.3229723,440.8548724,779.6060319,594.9592281,746.7760143,2145.608256,2087.282321,2196.884123,2223.125456,2145.673101,2078.655048,2197.012075,2085.717416,2029.758246,2125.739117,2015.674152
012_FY_20190703-GOAL,roland,wordList,OWL1,R,AH0,0.09,869.1242576,900.9474082,975.7838001,992.0661667,988.4727663,938.0147224,950.7312959,1034.998369,1023.890014,999.7186041,937.736119,1602.212719,1745.511699,1702.542505,1587.666548,1686.945785,1514.395224,1553.214276,1595.589082,1476.17364,1611.445506,1672.215668
012_FY_20190703-GOAL,holey,minimalPairs,OWL1,HH,IY0,0.19,469.9811539,483.7257496,374.4629338,698.2980539,607.645265,1122.516575,1008.497629,799.7403591,675.1487889,886.7013347,1006.973154,2162.011934,1907.862088,2265.254924,2569.975881,1749.797992,2790.521423,1962.946394,1652.560173,2053.696368,2054.27153,1921.267171
012_FY_20190703-GOAL,whol-+wholly,minimalPairs,OWL1,HH,sp,0.18,704.6102103,656.4022606,669.3822213,564.2111678,558.5324911,490.5324478,489.5867944,553.5465951,766.6231124,814.903244,722.5137372,1184.448052,1232.106621,1190.435112,1167.551866,1133.291007,1129.043561,1219.790665,1265.207794,1690.956297,1734.761441,1741.824881
012_FY_20190703-GOAL,holey,minimalPairs,OWL1,HH,IY0,0.14,800.1955275,576.7123382,865.8579154,939.2923643,1310.998716,1307.477169,721.6970175,697.3765826,451.7720669,547.9256406,522.0543027,1839.635351,1697.977908,1901.646047,2007.667309,2224.059879,2336.842326,2268.375659,1802.519399,1158.884686,855.8051184,826.3757147
012_FY_20190703-GOAL,wholly,minimalPairs,OWL1,HH,IY0,0.06,401.3305952,387.3350155,367.7351011,366.7875756,341.9683729,323.2571041,320.9964023,306.4429421,294.8654075,258.7658798,240.8266967,2332.220462,2395.103816,2417.463591,2432.864521,2340.423113,2202.565029,2174.072917,2289.184545,2437.349656,2425.540315,2418.820789
012_FY_20190703-GOAL,holey,minimalPairs,OWL1,HH,IY0,0.14,848.618284,806.3616465,737.2660724,737.1115182,757.9560236,695.6596329,682.0522758,706.1654845,702.0106115,715.2888272,700.3784807,1896.251984,1690.638141,1705.486085,1618.767537,1575.429411,1648.970786,1622.868125,1609.460186,1634.981918,1633.015295,1591.964488
012_FY_20190703-GOAL,wholly,minimalPairs,OWL1,HH,IY0,0.06,717.8620663,722.702274,715.6365947,708.6429656,662.2938946,616.237766,623.2258887,659.1119256,697.7711166,638.0044503,619.9249135,1570.190642,1585.913602,1552.847329,1538.683807,1555.31295,1595.011692,1605.718929,1555.576649,1563.502264,1529.115083,1473.204877
012_FY_20190703-GOAL,holey,minimalPairs,OWL1,HH,IY0,0.21,562.2159529,440.4126856,441.4304688,385.154078,356.2637037,339.153369,350.5551951,477.9055384,410.110569,346.074148,358.2346373,2065.389895,2173.419539,2222.870541,2319.408735,2300.069742,2327.299835,2288.658717,2388.69803,2333.120247,2263.00007,2317.834552
012_FY_20190703-GOAL,holy,minimalPairs,OWL1,HH,IY0,0.08,534.0737203,594.8838809,607.3328329,602.4268544,598.3980686,602.5848095,587.6152485,563.5630528,513.9866411,509.7480437,538.0779634,1727.681623,1907.552084,1941.813519,1889.817972,1834.977159,1811.799058,1784.546856,1826.980262,1823.094695,1702.407522,1771.99239
013_FY_20190705-GOAL,older,interview,OWL1,N,D,0.19,981.8587267,664.8609379,654.1489815,709.4793081,711.8892837,563.8580936,535.5142711,491.4388958,478.0266015,471.7074542,584.8276052,1749.50079,1539.945673,1816.350608,850.3492978,809.6028119,879.8200829,880.2044077,947.2241635,1010.003493,1102.719293,1068.497121
